Label: AG FM

Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
14/05/2018 05:00:00	108	64.02444	69.90136	44.10637	68.11157	79.30847	54.43555	71.27193	68.21317	53.05479	79.44944	70.55179	46.34126
14/05/2018 08:00:00	111	68.00319	71.15038	45.65013	70.94886	82.93197	56.43921	73.9872	69.79414	55.21223	81.60379	73.23962	48.11545
14/05/2018 11:00:00	114	70.21377	74.33945	47.12584	72.22532	85.33246	57.63322	75.82498	72.35365	55.6323	84.10976	76.15768	49.95662
14/05/2018 14:00:00	117	72.71574	76.66098	47.42366	73.80217	88.07413	59.51384	77.90742	74.911	58.93455	86.90704	78.38612	50.77777
14/05/2018 17:00:00	120	73.70901	77.79955	49.60845	76.17455	89.85568	62.02559	79.67044	78.59459	60.54925	89.23172	82.28171	52.53661
14/05/2018 20:00:00	123	76.64706	81.4935	50.12703	77.37672	91.85129	62.32848	83.11063	80.36858	61.02794	91.33511	84.05063	52.45055
14/05/2018 23:00:00	126	79.17552	81.535	50.7617	79.71312	94.06255	64.1636	83.65101	82.0881	64.04524	92.14824	86.66633	55.5437
15/05/2018 02:00:00	129	82.13796	84.04363	52.95779	80.5641	94.92532	66.47029	85.74182	85.20454	66.2012	93.37077	87.97678	57.52427
15/05/2018 05:00:00	132	83.13007	86.1069	52.53508	82.22416	96.43947	67.98232	87.23678	86.93987	66.967	94.60546	89.5111	58.1385
15/05/2018 08:00:00	135	85.00212	87.6954	54.35372	83.69931	97.72641	69.78198	88.88773	89.72968	68.35595	95.95551	91.68934	60.79731
15/05/2018 11:00:00	138	86.03613	89.78509	55.57139	86.65542	98.04694	72.08315	90.58366	90.75889	69.96639	96.20897	91.93492	61.92891
15/05/2018 14:00:00	141	86.95005	91.11344	57.10047	86.89887	98.25768	72.54523	91.24104	92.17022	71.6351	97.43159	93.29485	63.3944
15/05/2018 17:00:00	144	88.78561	91.71703	57.73005	88.35168	98.99387	73.17436	92.36236	93.67239	73.56417	98.11947	93.94203	65.47682
15/05/2018 20:00:00	147	89.54514	93.67392	59.32245	89.94241	99.33483	76.2449	93.63799	95.35721	74.38687	98.56644	94.75285	67.39809
15/05/2018 23:00:00	150	91.20953	93.46458	60.23764	90.83231	99.52453	77.73972	94.22626	96.41019	75.5491	98.79694	95.08292	67.89231
16/05/2018 02:00:00	153	91.57815	95.4389	62.01988	91.9687	99.72762	80.52151	95.49715	97.27374	77.77222	99.12979	96.26523	70.31853
16/05/2018 05:00:00	156	92.31377	96.42993	63.79856	92.07484	99.7913	81.60379	96.43298	97.66271	78.90406	99.26534	96.79696	72.38152
16/05/2018 08:00:00	159	93.48576	96.94427	65.2719	93.44131	99.8893	83.31874	96.93924	98.35265	80.0903	99.63872	97.3793	74.49059
16/05/2018 11:00:00	162	94.07106	96.78432	65.03927	94.46857	99.93887	84.78151	97.53262	98.70206	81.61578	99.68504	97.71039	75.8541
16/05/2018 14:00:00	165	94.35372	98.44566	66.52972	94.64439	99.91612	85.68636	98.14243	98.92342	82.87421	99.80649	98.54135	77.1546
