Label: AG FM

Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
14/05/2018 05:00:00	108	25.11797	22.74238	21.24972	27.5971	27.78236	18.16496	22.33571	31.99394	19.81719	20.27118	22.49647	15.90446
14/05/2018 08:00:00	111	26.12837	23.6972	21.85907	28.66872	28.90729	18.95205	23.19859	33.16584	20.27098	20.85845	23.23839	16.4477
14/05/2018 11:00:00	114	27.14619	24.53698	22.47993	29.62309	30.07217	19.86528	24.36195	34.30536	21.04982	21.94575	24.28116	16.63422
14/05/2018 14:00:00	117	28.12005	25.55673	22.94394	30.59953	31.33442	20.6673	25.28986	35.70311	21.57904	22.80402	25.27272	17.02372
14/05/2018 17:00:00	120	29.22868	26.45452	23.57423	31.80438	32.42722	21.54795	26.36155	36.76014	22.28897	23.57127	26.29256	17.47895
14/05/2018 20:00:00	123	30.46516	27.38199	24.02153	32.79088	33.68972	22.23056	27.23839	38.16684	22.95598	24.64127	27.39297	17.93107
14/05/2018 23:00:00	126	31.34832	28.54189	24.49216	33.91978	34.8236	23.0258	28.42672	39.38716	23.6651	25.70071	28.50004	18.34946
15/05/2018 02:00:00	129	32.6531	29.45289	24.99329	35.19603	36.16448	23.85188	29.37346	40.71872	24.50244	26.50014	29.66305	19.04947
15/05/2018 05:00:00	132	33.9683	30.56463	25.68526	36.29843	37.19464	24.73634	30.48295	42.39817	25.27069	27.50897	30.93202	19.37973
15/05/2018 08:00:00	135	35.09902	31.57679	26.22865	37.59178	38.48386	25.79415	31.60746	43.70099	25.94653	28.66574	31.93185	20.11916
15/05/2018 11:00:00	138	36.48565	32.82481	26.88891	38.78028	39.74064	26.55876	32.82918	45.31965	26.65992	29.79601	33.1393	20.50963
15/05/2018 14:00:00	141	37.83638	33.94851	27.58896	40.12606	41.22203	27.51828	34.27162	46.66569	27.53309	31.10101	34.54737	20.87944
15/05/2018 17:00:00	144	39.09658	35.34541	28.10545	41.44879	42.32244	28.41773	35.4603	48.40102	28.29215	32.20512	36.00264	21.45788
15/05/2018 20:00:00	147	40.54008	36.84813	28.77467	42.57246	43.66486	29.53584	36.64268	49.90541	29.05998	33.40153	37.3072	22.02604
15/05/2018 23:00:00	150	41.93869	38.02214	29.42195	43.88236	44.89621	30.59978	37.73191	51.54042	29.77638	34.69084	38.65699	22.60143
16/05/2018 02:00:00	153	43.23225	39.70993	30.07036	45.21492	46.569	31.38776	39.14738	53.02521	30.36446	35.82949	40.08078	23.16596
16/05/2018 05:00:00	156	44.61623	41.00496	30.78213	46.42043	47.60855	32.35985	40.70463	54.8438	31.34384	37.35686	41.67115	23.77858
16/05/2018 08:00:00	159	46.25754	42.40627	31.35715	47.79809	49.16282	33.1445	41.72693	56.36739	32.13462	38.52049	43.02304	24.37191
16/05/2018 11:00:00	162	47.76122	44.00392	32.19122	49.01631	50.49842	34.12334	43.35275	58.26717	32.98317	40.11654	44.64501	25.0705
16/05/2018 14:00:00	165	49.07603	45.5592	32.88039	50.32672	51.77544	35.39174	44.64387	59.94183	33.64555	41.68351	46.4045	25.51388
16/05/2018 17:00:00	168	50.66219	46.86587	33.53794	51.89331	53.50552	36.36076	46.11772	61.71891	34.70651	43.2621	48.04506	26.00719
16/05/2018 20:00:00	171	52.17742	48.39305	34.45945	53.10197	54.81779	37.3255	47.12942	63.29679	35.49805	44.72673	49.44499	26.87698
16/05/2018 23:00:00	174	53.60756	50.0341	35.29723	54.12551	56.3711	38.38156	48.65822	65.04591	36.0099	46.16558	51.19687	27.43027
17/05/2018 02:00:00	177	55.24835	51.55957	35.93163	55.41218	57.58555	39.52043	50.17155	66.66309	37.00666	47.59027	53.04822	28.13088
17/05/2018 05:00:00	180	56.69049	53.38557	36.68018	56.65197	58.98927	40.43925	51.2813	68.18367	37.98604	49.18747	54.6349	28.54852
17/05/2018 08:00:00	183	58.16815	54.62975	37.52177	57.97432	60.29427	41.2469	52.94983	70.02925	38.86723	50.80023	56.58822	29.16868
17/05/2018 11:00:00	186	59.62912	56.4006	38.45869	59.31093	61.54837	42.4859	54.47268	71.56574	39.88735	52.43056	58.14941	30.01096
17/05/2018 14:00:00	189	61.13003	57.95456	39.46785	60.54307	62.9597	43.42844	56.14388	73.26237	40.57061	53.9617	60.21308	30.60332
17/05/2018 17:00:00	192	62.64322	59.5759	40.32013	62.01824	64.30383	44.44456	57.09555	75.01581	41.42979	55.05443	61.24842	31.30287
17/05/2018 20:00:00	195	64.22745	61.3964	41.43824	63.14781	65.67648	45.64728	58.61203	76.81488	42.59639	56.63308	62.95318	32.248
17/05/2018 23:00:00	198	65.34749	62.96977	42.13474	64.38669	66.67899	46.41784	60.04729	78.41298	43.4586	58.04573	64.66421	32.71297
18/05/2018 02:00:00	201	66.93166	64.63795	42.9861	65.88718	68.09368	47.70604	61.17257	80.12293	44.36192	59.41076	66.23885	33.54354
18/05/2018 05:00:00	204	68.28968	66.05974	43.83538	67.0744	69.75347	48.36334	62.61488	81.60098	45.11826	61.13776	67.87856	34.3508
18/05/2018 08:00:00	207	69.77153	67.85367	44.48259	68.48469	70.68404	49.3115	63.88117	82.79807	46.21343	62.4857	69.4939	34.77951
18/05/2018 11:00:00	210	71.05978	69.09549	45.52401	69.73177	72.175	50.20131	65.44863	84.36702	47.04285	64.30092	71.44894	35.54415
18/05/2018 14:00:00	213	72.38686	70.71013	46.64372	71.20866	73.3035	51.21199	66.71471	85.51083	47.83829	65.85383	72.96437	36.3164
18/05/2018 17:00:00	216	73.56244	71.88986	47.5254	72.47617	74.34145	52.03145	67.58321	86.63584	48.69881	67.22458	74.42697	36.87063
18/05/2018 20:00:00	219	74.58225	73.20555	48.45144	73.85236	75.28662	52.88445	68.66489	87.83514	49.54226	68.6656	75.88307	37.84139
18/05/2018 23:00:00	222	75.56713	74.58247	49.49961	74.90435	76.13407	53.68714	69.70992	88.94993	50.26131	70.13016	77.34288	38.40854
19/05/2018 02:00:00	225	76.57626	75.53101	50.02426	76.17825	76.90668	54.57327	71.10239	90.0232	51.24796	71.48881	78.72343	39.42899
19/05/2018 05:00:00	228	77.64198	76.60102	50.81797	77.29535	77.99326	55.62991	72.46889	90.82075	51.98693	72.82083	79.99386	40.35055
19/05/2018 08:00:00	231	78.42345	77.58525	51.77404	78.31459	79.05052	56.53231	73.21142	91.75232	52.90971	74.27564	81.23251	40.8451
19/05/2018 11:00:00	234	79.20446	78.32254	53.18486	79.5815	79.74487	57.58162	74.39255	92.43707	53.61714	75.33157	82.66757	41.88576
19/05/2018 14:00:00	237	79.84232	79.21917	53.74687	80.28513	80.59027	58.76845	75.47045	93.0426	54.38298	76.43633	83.90279	42.48296
19/05/2018 17:00:00	240	80.47833	80.16905	54.64796	81.24994	81.38131	59.51618	76.41846	93.51268	54.94418	77.65431	85.06116	43.39611
19/05/2018 20:00:00	243	81.19122	80.77764	55.7387	82.13569	81.80772	60.35015	77.35837	93.8969	55.80683	78.9108	85.84577	43.86274
19/05/2018 23:00:00	246	81.61208	81.39741	56.31802	83.17115	82.53162	60.97589	78.14466	94.39153	56.69575	80.02731	86.85143	44.55791
20/05/2018 02:00:00	249	82.04201	81.97885	57.09578	83.93234	83.20878	62.1054	78.91528	94.84991	57.35988	80.92834	87.58488	45.06054
20/05/2018 05:00:00	252	82.66548	82.67348	58.13039	84.6048	83.98579	62.90833	79.84875	95.21761	57.91878	81.76614	88.353	46.04195
20/05/2018 08:00:00	255	83.04739	83.19045	58.83607	85.4174	84.22491	63.64319	80.78313	95.54101	58.68835	82.61424	89.01114	46.51326
20/05/2018 11:00:00	258	83.63049	83.64482	59.53084	85.98364	84.81603	64.37321	81.44781	95.82381	59.27382	83.48542	89.69703	46.96381
20/05/2018 14:00:00	261	83.99706	84.10257	60.29951	86.6081	85.36688	65.22704	82.13255	96.08308	60.05193	84.26038	90.4069	47.5713
20/05/2018 17:00:00	264	84.4337	84.47131	61.175	87.07571	85.87455	66.04542	82.52791	96.4024	60.86944	84.82371	90.99583	48.41983
20/05/2018 20:00:00	267	84.79808	84.80447	61.94712	87.78195	86.24474	66.64194	83.25396	96.59414	61.46607	85.66862	91.53868	49.03509
20/05/2018 23:00:00	270	84.99144	85.26723	62.49719	88.31317	86.65066	67.4903	83.86652	96.82347	62.01714	86.33683	91.99606	49.8965
21/05/2018 02:00:00	273	85.40559	85.72653	63.18547	88.8045	87.06949	68.32382	84.45675	97.02309	62.66531	86.8992	92.36584	50.79779
21/05/2018 05:00:00	276	85.75501	86.12157	63.92983	89.2776	87.33957	69.07718	85.14725	97.12602	62.79186	87.26414	92.79683	51.20012
21/05/2018 08:00:00	279	86.22717	86.50684	64.57571	89.83224	87.8392	69.71433	85.39692	97.30922	63.35476	87.93813	93.19879	51.60224
21/05/2018 11:00:00	282	86.50815	86.74609	65.02712	90.24654	88.25356	70.28212	86.22723	97.4067	63.90245	88.45484	93.65188	52.27611
21/05/2018 14:00:00	285	86.77605	87.15955	65.53449	90.6598	88.61102	70.90845	86.6555	97.56628	64.24258	88.94849	93.96052	52.60399
21/05/2018 17:00:00	288	87.15115	87.46391	66.31995	91.06414	88.46794	71.23314	88.04318	97.34849	64.16986	89.42355	94.51904	52.98275
21/05/2018 20:00:00	291	87.13332	87.57362	66.6255	91.31245	89.14745	71.74113	87.95297	97.50496	64.31573	89.9752	94.7578	53.29729
21/05/2018 23:00:00	294	87.31253	87.89268	67.25082	91.64736	89.20621	72.40073	88.58189	97.52548	64.57413	90.32973	95.04416	53.78706
22/05/2018 02:00:00	297	87.51791	88.11832	67.72193	92.06776	89.69589	72.83156	88.79645	97.69755	64.84077	90.81076	95.22787	54.09099
22/05/2018 05:00:00	300	87.59956	88.31122	68.42042	92.36606	89.57056	73.25567	89.35458	97.72518	65.03399	91.13421	95.46188	54.0497
