Cell line,Target 1,Target 2,Treatment,Nucleus,Dots,Dots/Nuclea
MDA-MB-231,ER,ER,Ethanol,9,8,0.888888889
MDA-MB-231,ER,ER,Ethanol,9,43,4.777777778
MDA-MB-231,ER,ER,Ethanol,13,14,1.076923077
MDA-MB-231,ER,ER,Ethanol,22,19,0.863636364
MDA-MB-231,ER,ZMIZ1,Fulvestrant,8,9,1.125
MDA-MB-231,ER,ZMIZ1,Fulvestrant,16,47,2.9375
MDA-MB-231,ER,ZMIZ1,Fulvestrant,11,34,3.090909091
MDA-MB-231,ER,ZMIZ1,Fulvestrant,11,30,2.727272727
MDA-MB-231,ER,ZMIZ1,Fulvestrant,10,26,2.6
MDA-MB-231,ER,ZMIZ1,Fulvestrant,7,13,1.857142857
MDA-MB-231,ER,ZMIZ1,Fulvestrant,16,47,2.9375
MDA-MB-231,ER,ZMIZ1,Fulvestrant,14,71,5.071428571
MDA-MB-231,ER,ZMIZ1,Ethanol,13,59,4.538461538
MDA-MB-231,ER,ZMIZ1,Ethanol,12,38,3.166666667
MDA-MB-231,ER,ZMIZ1,Ethanol,18,68,3.777777778
MDA-MB-231,ER,ZMIZ1,Ethanol,19,69,3.631578947
MDA-MB-231,ER,ZMIZ1,Ethanol,35,104,2.971428571
MDA-MB-231,ER,ZMIZ1,Ethanol,17,65,3.823529412
MDA-MB-231,ER,ZMIZ1,Ethanol,9,24,2.666666667
MDA-MB-231,ER,ZMIZ1,Ethanol,11,62,5.636363636
MDA-MB-231,ER,IgG,Fulvestrant,13,10,0.769230769
MDA-MB-231,ER,IgG,Fulvestrant,11,14,1.272727273
MDA-MB-231,ER,IgG,Fulvestrant,12,15,1.25
MDA-MB-231,ER,IgG,Fulvestrant,11,8,0.727272727
MDA-MB-231,ER,IgG,Fulvestrant,15,12,0.8
MDA-MB-231,ER,IgG,Fulvestrant,14,17,1.214285714
MDA-MB-231,ER,IgG,Fulvestrant,18,19,1.055555556
MDA-MB-231,ER,IgG,Fulvestrant,19,15,0.789473684
MDA-MB-231,ER,IgG,Ethanol,15,11,0.733333333
MDA-MB-231,ER,IgG,Ethanol,15,13,0.866666667
MDA-MB-231,ER,IgG,Ethanol,16,12,0.75
MDA-MB-231,ER,IgG,Ethanol,14,20,1.428571429
MDA-MB-231,ER,IgG,Ethanol,18,6,0.333333333
MDA-MB-231,ER,IgG,Ethanol,16,16,1
MDA-MB-231,ER,IgG,Ethanol,12,18,1.5
MDA-MB-231,ER,IgG,Ethanol,13,26,2
